drug_1,drug_2,relation_type,severity,mention_count,evidence_sentence
NSAIDs,thiazide diuretics,effect,Moderate,1,"Furosemide: Clinical studies, as well as post-marketing observations, have shown that NSAIDs can reduce the natriuretic effect of furosemide and thiazide diuretics in some patients."
diltiazem,pramipexole,mechanism,High,1,"Other drugs eliminated via renal secretion: Population pharmacokinetic analysis suggests that coadministration of drugs that are secreted by the cationic transport system (e.g., cimetidine, ranitidine, diltiazem, triamterene, verapamil, quinidine, and quinine) decreases the oral clearance of pramipe"
MIVACRON,contraceptives,effect,Moderate,1,"The neuromuscular blocking effect of MIVACRON may be enhanced by drugs that reduce plasma cholinesterase activity (e.g., chronically administered oral contraceptives, glucocorticoids, or certain monoamine oxidase inhibitors) or by drugs that irreversibly inhibit plasma cholinesterase . Resistance to"
methylglyoxal,piperacillin,effect,Moderate,1,Distinct and statistically significant synergism was observed between methylglyoxal and piperacillin by disc diffusion tests when compared with their individual effects.
desglymidodrine,metformin,mechanism,High,1,"ProAmatine. Alpha-adrenergic blocking agents, such as prazosin, terazosin, and doxazosin, can antagonize the effects of ProAmatine. Potential for Drug Interactions: It appears possible, although there is no supporting experimental evidence, that the high renal clearance of desglymidodrine (a base) i"
Oxandrolone,hypoglycemic agents,mechanism,High,1,Oral hypoglycemic agents Oxandrolone may inhibit the metabolism of oral hypoglycemic agents.
Streptokinase,anticoagulants,effect,Moderate,1,"Use of Anticoagulants and Antiplatelet Agents -- Streptase, Streptokinase, alone or in combination with antiplatelet agents and anticoagulants, may cause bleeding complications."
SKELAXIN,barbiturates,effect,Moderate,1,"SKELAXIN may enhance the effects of alcohol, barbiturates and other CNS depressants."
propoxyphene,alcohol,effect,Moderate,1,"The CNS-depressant effect of propoxyphene is additive with that of other CNS depressants, including alcohol."
Vitamin B1,Contraceptives,int,Low,1,"Interactions for Vitamin B1 (Thiamine):  Loop Diuretics, Oral Contraceptives, Stavudine, Tricyclic Antidepressants"
pseudoephedrine,ProAmatine,effect,Moderate,1,"The use of drugs that stimulate alpha-adrenergic receptors (e.g., phenylephrine, pseudoephedrine, ephedrine, phenylpropanolamine or dihydroergotamine) may enhance or potentiate the pressor effects of ProAmatine   . Therefore, caution should be used when ProAmatine    is administered concomitantly wi"
aspirin,Retavase,effect,Moderate,1,"In addition to bleeding associated with heparin and vitamin K antagonists, drugs that alter platelet function (such as aspirin, dipyridamole, and abciximab) may increase the risk of bleeding if administered prior to or after Retavase    therapy."
fluoxetine,endoxifen,mechanism,High,1,Paroxetine and fluoxetine reduce the plasma concentration of endoxifen by about 50%.
Sulfamethizole,tolbutamide,effect,Moderate,1,"Sulfamethizole may increase the effects of barbiturates, tolbutamide, and uricosurics."
Posicor,cyclosporine,mechanism,High,1,"Posicor inhibits some of the liver's ability to metabolize some other drugs - terfenadine, astemizole, cisapride, cyclosporine, and tricyclic antidepressants."
Pindolol,thioridazine,mechanism,High,1,Pindolol has been shown to increase serum thioridazine levels when both drugs are co-administered.
TOBI,anti-pseudomonal antibiotics,effect,Moderate,1,"In clinical studies of TOBI, patients taking TOBI concomitantly with dornase alfa (PULMOZYME   , Genentech), (beta)-agonists, inhaled corticosteroids, other anti-pseudomonal antibiotics, or parenteral aminoglycosides demonstrated adverse experience profiles similar to the study population as a whole"
Matulane,tyramine,advise,Moderate,1,"Because Matulane exhibits some monoamine oxidase inhibitory activity, sympathomimetic drugs, tricyclic antidepressant drugs (e.g., amitriptyline HCl, imipramine HCl) and other drugs and foods with known high tyramine content, such as wine, yogurt, ripe cheese and bananas, should be avoided."
sodium salicylate,teniposide,mechanism,High,1,"In a study in which 34 different drugs were tested, therapeutically relevant concentrations of tolbutamide, sodium salicylate and sulfamethizole displaced protein-bound teniposide in fresh human serum to a small but significant extent."
Terbinafine,cyclosporine,mechanism,High,1,Terbinafine increases the clearance of cyclosporine by 15%.
MYKROX,antihypertensive drugs,advise,Moderate,1,"Other Antihypertensives: When MYKROX Tablets are used with other antihypertensive drugs, care must be taken, especially during initial therapy."
Paliperidone,levodopa,effect,Moderate,1,Paliperidone may antagonize the effect of levodopa and other dopamine agonists.
Terbinafine,cimetidine,mechanism,High,1,"Terbinafine clearance is increased 100% by rifampin, a CyP450 enzyme inducer, and decreased 33% by cimetidine, a CyP450 enzyme inhibitor."
tricyclic antidepressants,triprolidine,effect,Moderate,1,"The effects of anticholinergic drugs, such as atropine and tricyclic antidepressants may be enhanced by the concomitant administration of triprolidine."
EVISTA,diazepam,advise,Moderate,1,"Caution should be used when EVISTA is coadministered with other highly protein-bound drugs, such as clofibrate, indomethacin, naproxen, ibuprofen, diazepam, and diazoxide."
digoxin,perindopril,mechanism,High,1,"Digoxin: A controlled pharmacokinetic study has shown no effect on plasma digoxin concentrations when coadministered with ACEON    Tablets, but an effect of digoxin on the plasma concentration of perindopril/perindoprilat has not been excluded."
ZOLINZA,valproic acid,effect,Moderate,1,"Other HDAC Inhibitors Severe thrombocytopenia and gastrointestinal bleeding have been reported with concomitant use of ZOLINZA and other HDAC inhibitors (e.g., valproic acid)."
DEMSER,phenothiazines,advise,Moderate,1,Caution should be observed in administering DEMSER to patients receiving phenothiazines or haloperidol because the extrapyramidal effects of these drugs can be expected to be potentiated by inhibition of catecholamine synthesis.
Phenothiazines,opiates,effect,Moderate,1,"Phenothiazines are capable of potentiating CNS depressants (e.g., barbiturates, anesthetics, opiates, alcohol, etc.)"
Warfarin,citalopram,effect,Moderate,2,"Warfarin users had an increased odds ratio of gastrointestinal bleeding upon initiation of citalopram (OR   =   1.73 [95% CI, 1.25-2.38]), fluoxetine (OR   =   1.63 [95% CI, 1.11-2.38]), paroxetine (OR   =   1.64 [95% CI, 1.27-2.12]), amitriptyline (OR   =   1.47 [95% CI, 1.02-2.11])."
celecoxib,doxorubicin,effect,Moderate,1,We found antagonism between celecoxib and the four drugs in the breast cancer cells MCF7 following all incubation schedules and between celecoxib and doxorubicin in all cell lines except for two combinations in HCT116 cells.
carbamazepine,midazolam,mechanism,High,1,"Inducers of CYP3A4 Isozymes: Cytochrome P450 inducers, such as rifampin, carbamazepine, and phenytoin, induce metabolism and caused a markedly decreased C max and AUC of oral midazolam in adult studies."
CHEMET,CaNa 2 EDTA,advise,Moderate,1,"Concomitant administration of CHEMET with other chelation therapy, such as CaNa 2 EDTA is not recommended."
thiabendazole,xanthine derivatives,advise,Moderate,1,"Therefore, when concomitant use of thiabendazole and xanthine derivatives is anticipated, it may be necessary to monitor blood levels and/or reduce the dosage of such compounds."
oxandrolone,warfarin,advise,Moderate,3,"Furthermore, in patients receiving both drugs, careful monitoring of the INR or PT, and adjustment of the warfarin dosage if indicated are recommended when the oxandrolone dose is changed or discontinued."
analgesics,SYMLIN,advise,Moderate,1,"When the rapid onset of a concomitant orally administered agent is a critical determinant of effectiveness (such as analgesics), the agent should be administered at least 1 hour prior to or 2 hours after SYMLIN injection."
Mequitazine,CNS depressant,int,Low,1,"Mequitazine can interact with CNS depressant, antichlolinergic, TCA, MAOIs, and alcohol."
anticoagulants,methimazole,effect,Moderate,1,Anticoagulants (oral): The activity of oral anticoagulants may be potentiated by anti-vitamin-K activity attributed to methimazole.
phenobarbital,mifepristone,mechanism,High,1,"John   s Wort, and certain anticonvulsants (phenytoin, phenobarbital, carbamazepine) may induce mifepristone metabolism (lowering serum levels of mifepristone)."
erythromycin,mifepristone,mechanism,High,1,"Although specific drug or food interactions with mifepristone have not been studied, on the basis of this drug   s metabolism by CYP 3A4, it is possible that ketoconazole, itraconazole, erythromycin, and grapefruit juice may inhibit its metabolism (increasing serum levels of mifepristone)."
MEPERIDINE,BARBITURATES,advise,Moderate,1,"Interaction with Other Central Nervous System Depressants: MEPERIDINE SHOULD BE USED WITH GREAT CAUTION AND IN REDUCED DOSAGE IN PATIENTS WHO ARE CONCURRENTLY RECEIVING OTHER NARCOTIC ANALGESICS, GENERAL ANESTHETICS, PHENOTHIAZINES, OTHER TRANQUILIZERS, SEDATIVE-HYPNOTICS (INCLUDING BARBITURATES), T"
Sanctura,procainamide,mechanism,High,1,"Drugs Eliminated by Active Tubular Secretion: Although studies to assess drug-drug interactions with Sanctura have not been conducted, Sanctura has the potential for pharmacokinetic interactions with other drugs that are eliminated by active tubular secretion (e.g. digoxin, procainamide, pancuronium"
mazindol,MAOI,advise,Moderate,1,"You cannot take mazindol if you have taken a monoamine oxidase inhibitor (MAOI) such as isocarboxazid (Marplan), tranylcypromine (Parnate), or phenelzine (Nardil) in the last 14 days."
Triprolidine,sedatives,effect,Moderate,1,"Triprolidine may enhance the sedative effects of central nervous system depressants including alcohol, barbiturates, hypnotics, narcotic analgesics, sedatives, and tranquillisers."
DIPRIVAN,opioids,advise,Moderate,1,"During maintenance of anesthesia or sedation, the rate of DIPRIVAN Injectable Emulsion administration should be adjusted according to the desired level of anesthesia or sedation and may be reduced in the presence of supplemental analgesic agents (eg, nitrous oxide or opioids)."
ketoconazole,DETROL LA,advise,Moderate,1,"For patients receiving ketoconazole or other potent CYP3A4 inhibitors such as other azole antifungals (eg, itraconazole, miconazole) or macrolide antibiotics (eg, erythromycin, clarithromycin) or cyclosporine or vinblastine, the recommended dose of DETROL LA is 2 mg daily."
Methscopolamine,kaolin,int,Low,1,"Methscopolamine may interact with antidepressants (tricyclic type), MAO inhibitors (e.g., phenelzine, linezolid, tranylcypromine, isocarboxazid, selegiline, furazolidone), quinidine, amantadine, antihistamines (e.g., diphenhydramine), other anticholinergics, potassium chloride supplements, antacids,"
phenytoin,midazolam,mechanism,High,1,"Inducers of CYP3A4 Isozymes: Cytochrome P450 inducers, such as rifampin, carbamazepine, and phenytoin, induce metabolism and caused a markedly decreased C max and AUC of oral midazolam in adult studies."
Melatonin,beta blockers,int,Low,1,"Melatonin may interact with the following drugs: aspirin and other NSAIDs (may lower melatonin levels), fluvoxamine (bioavailability of oral melatonin is increased with coadministration), beta blockers (may decrease melatonin levels), fluoxetine (reports of psychotic episodes when coadministered), p"
